channelName,title,channelId,url,gender,rank,description,countryCode,viewCount,subscriberCount,videoCount,publishedAt,uploads,publishedDate,country,countryOther,continent,year,yearClass,subscriberCountClass
Chris Hawkes,Chris Hawkes,UCfV36TX5AejfAGIbtwTc7Zw,https://www.youtube.com/user/noobtoprofessional,Male,52,"We're going to learn about programming, web design, responsive web design, Reactjs, Django, Python, web scraping, games, forms applications and more!  Thank you for subscribing!  

Patreon - https://www.patreon.com/chrishawkes

Subscribe to my newsletter - http://codehawke.com/

Thanks, 

Chris",US,19886675,175000,994,2013-02-19T01:07:23Z,UUfV36TX5AejfAGIbtwTc7Zw,2013-02-19,United States,United States,North america,2013,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Chris Coyier,Chris Coyier,UCADyUOnhyEoQqrw_RrsGleA,https://www.youtube.com/user/realcsstricks,Male,53,"This is the official YouTube channel for CSS-Tricks, a web design community curated by Chris Coyier. https://css-tricks.com",US,3651883,59600,292,2011-05-12T01:53:15Z,UUADyUOnhyEoQqrw_RrsGleA,2011-05-12,United States,United States,North america,2011,"(2010.0, 2015.0]","(-0.001, 97250.0]"
Fazt,Fazt,UCX9NJ471o7Wie1DQe94RVIg,https://www.youtube.com/channel/UCX9NJ471o7Wie1DQe94RVIg,Male,54,"Fazt es un canal en donde podrás encontrar una variedad de videos de programación, desarrollo Web y muchos otros temas relacionados al mundo de la informática en general. Desde aprender las bases de un lenguaje de programacion hasta subir tu sitio o aplicación Web. Bienvenido al mundo de la web, un mundo en el que la información es libre, al igual que la información de este canal.",PE,29814805,371000,348,2015-08-07T19:52:57Z,UUX9NJ471o7Wie1DQe94RVIg,2015-08-07,Peru,Other,South america,2015,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Prajwal NH,IIMB Inventors Inventing Machine Business,UCWym_j-OGCzIfz8K4vXtU6g,https://www.youtube.com/channel/UCWym_j-OGCzIfz8K4vXtU6g,Male,55,"The IIMB stands for Inventor's Inventing Machine Business. 
This channel relates to hardware and software information provided by us. We shall provide you with a whole lot of innovative projects and ton of technical info on this channel. 
Go building.
Go inventing.

You can visit my website to know more:
https://www.prajwal-iimb.com/",IN,5709,86,24,2018-11-18T12:23:23Z,UUWym_j-OGCzIfz8K4vXtU6g,2018-11-18,India,India,Asia,2018,"(2015.0, 2020.0]","(-0.001, 97250.0]"
Life of Luba,Life of Luba,UCgzKCeDYLRzPhQ64R6AKyBQ,https://www.youtube.com/channel/UCgzKCeDYLRzPhQ64R6AKyBQ,Female,56,"I'm Luba and on my channel, you can expect things about entrepreneurship, motivation, and lifestyle! 

My goal is to help as many people as possible realize their own potential and motivate them to reach for their dreams. I also spend time singing opera, reading about productivity, and mentoring startups.

I spent the last 6 years working in tech for companies like Airbnb and Yelp, where I worked as a Software Engineer, Chief of Staff, and most recently, Product Manager.

Originally from Belarus, at the age of 17, I studied Chemical Engineering and Computer Science at the University of Waterloo in Canada and Technical University of Munich. 

Now I'm on a path to run my own businesses. Visit https://www.loka.dev/ if you want to hire the best Eastern European engineers for your fast-growing company. 

Videos come out weekly most of the time :)

Thank you for tuning in!
♥ Luba
",US,4924304,103000,112,2018-03-02T23:31:14Z,UUgzKCeDYLRzPhQ64R6AKyBQ,2018-03-02,United States,United States,North america,2018,"(2015.0, 2020.0]","(97250.0, 683500.0]"
chuck severance,Chuck Severance,UChYfrRp_CWyqOt-ZYJGOgmA,https://m.youtube.com/user/csev,Male,57,,US,7776775,62100,878,2006-08-19T14:24:00Z,UUhYfrRp_CWyqOt-ZYJGOgmA,2006-08-19,United States,United States,North america,2006,"(2005.999, 2010.0]","(-0.001, 97250.0]"
Will Kwan,Will Kwan,UCTjPBE9BNsmv44wgxWEy2zw,https://www.youtube.com/channel/UCTjPBE9BNsmv44wgxWEy2zw,Male,58,trying to build cool stuff but it's sometimes bad,CA,7264253,133000,32,2017-06-04T22:17:54Z,UUTjPBE9BNsmv44wgxWEy2zw,2017-06-04,Canada,Canada,North america,2017,"(2015.0, 2020.0]","(97250.0, 683500.0]"
codingphase,CodingPhase,UC46wWUso9H5KPQcoL9iE3Ug,https://www.youtube.com/codingphase,Male,59,"javascript, tutorial, javascript (programming language), learn javascript, how to, javascript tutorial, code, programming language (software genre), lesson, help, javascript tutorial for beginners, html, programming, java, css, custom, notepad, mac, windows, site, development, language, markup, text, hyper, internet, to-do, interactive, online, cambridge, quick, dynamic, program, build, from scratch, website, make, science, computer, wright",US,5362262,77000,952,2016-01-25T01:16:48Z,UU46wWUso9H5KPQcoL9iE3Ug,2016-01-25,United States,United States,North america,2016,"(2015.0, 2020.0]","(-0.001, 97250.0]"
Pasja informatyki,Pasja informatyki,UCzn6vAfspIcagLax1fck_jw,https://www.youtube.com/c/Pasjainformatykitutoriale,Male,60,"Mirosław Zelent i Damian Stelmach - zmieniamy naukę informatyki na bardziej przystępną. Wierzymy w nauczanie, które rozpala pasję, a nie takie, które wynika z przymusu. Tworzymy dopracowane tutoriale video, artykuły tekstowe, podcasty, testy i zadania do rozwiązania dostępne dla wszystkich za darmo. Naszym celem jest osiągać wielokrotnie zadziwiający stopień przyswajalności materiału - taki, który pozwoli każdemu, kto tylko zechce popracować, stawać się o mały krok lepszym w tym co robi. Temat po temacie, film po filmie, wykład po wykładzie. 

Chcesz wesprzeć ten kanał? Zajrzyj tutaj: patronite.pl/pasja-informatyki
Masz pytanie dotyczące odcinka? Nie pytaj w komentarzach, zadaj je na forum: forum.pasja-informatyki.pl 
Współpraca reklamowa: http://miroslawzelent.pl/wspolpraca/

Nie odpisujemy na pw na YT, ani na  osobistych profilach na FB. 
Kontakt (jedynie w celach biznesowych): kontakt@pasja-informatyki.pl
Nasz content dostarczamy na zasadzie ""as is"".",PL,45526551,324000,200,2012-02-05T10:44:16Z,UUzn6vAfspIcagLax1fck_jw,2012-02-05,Poland,Other,Europe,2012,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Thomas Kim,Thomas Kim,UCpQ9kTWohSlFgXIKJmFc4kA,https://www.youtube.com/channel/UCpQ9kTWohSlFgXIKJmFc4kA,Male,61,For those who like programming.,KR,749633,3210,1041,2010-09-18T22:21:17Z,UUpQ9kTWohSlFgXIKJmFc4kA,2010-09-18,South Korea,Other,Asia,2010,"(2005.999, 2010.0]","(-0.001, 97250.0]"
Data School,Data School,UCnVzApLJE2ljPZSeQylSEyg,https://www.youtube.com/dataschool,Male,63,"Are you trying to learn data science so that you can get your first data science job? You're probably confused about what you're ""supposed"" to learn, and then you have the hardest time actually finding lessons you can understand!

Data School focuses you on the topics you need to master first, and offers in-depth tutorials that you can understand regardless of your educational background.

My name is Kevin Markham, and I'm the founder of Data School. I've taught data science using the Python programming language to hundreds of students in the classroom, and hundreds of thousands of students (like you) online.

Finding the right teacher was so important to my data science education, and so I sincerely hope that I can be the right data science teacher for you.

Please click the SUBSCRIBE button to be notified of my new data science tutorials! I look forward to interacting with you in the comments :)",US,8660601,176000,104,2014-04-30T18:49:17Z,UUnVzApLJE2ljPZSeQylSEyg,2014-04-30,United States,United States,North america,2014,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Abhishek Thakur,Abhishek Thakur,UCBPRJjIWfyNG4X-CRbnv78A,https://www.youtube.com/c/AbhishekThakurAbhi,Male,64,"I make videos about applied machine learning, deep learning and data science.
I am the world's first 4x grandmaster on Kaggle.

Buy my book:

Original B&W Copy:
INDIA: https://bit.ly/aamlpothi
USA: https://www.amazon.com/dp/8269211508
UK: https://www.amazon.co.uk/dp/8269211508
Germany: https://www.amazon.de/dp/8269211508
France: https://www.amazon.fr/dp/8269211508
Spain: https://www.amazon.es/dp/8269211508
Italy: https://www.amazon.it/dp/8269211508
Japan: https://www.amazon.co.jp/dp/8269211508
Canada: https://www.amazon.ca/dp/8269211508


Color / special collector's edition:
INDIA: https://bit.ly/aamlpothicolor
USA: https://www.amazon.com/dp/B08DC3ZFZZ
UK: https://www.amazon.co.uk/dp/B08DC3ZFZZ
Japan: https://www.amazon.co.jp/dp/B08DC3ZFZZ
Germany: https://www.amazon.de/dp/B08DC3ZFZZ
France: https://www.amazon.fr/dp/B08DC3ZFZZ
Italy: https://www.amazon.it/dp/B08DC3ZFZZ
Spain: https://www.amazon.es/dp/B08DC3ZFZZ
Canada: https://www.amazon.ca/dp/B08DC3ZFZZ",NO,987742,48300,96,2009-05-24T11:41:32Z,UUBPRJjIWfyNG4X-CRbnv78A,2009-05-24,Norway,Norway,Europe,2009,"(2005.999, 2010.0]","(-0.001, 97250.0]"
gaurav sen,Gaurav Sen,UCRPMAqdtSgd0Ipeef7iFsKw,https://www.youtube.com/c/GauravSensei/featured,Male,65,"Algorithms and System Design makes a powerful combination! 
Here are some things I talk about: 
1) System design
2) Competitive programming
3) Artificial intelligence

Subscribe for the latest updates!
You can catch me in the links mentioned below.",IN,15329535,358000,188,2012-04-20T10:37:45Z,UURPMAqdtSgd0Ipeef7iFsKw,2012-04-20,India,India,Asia,2012,"(2010.0, 2015.0]","(97250.0, 683500.0]"
Ryan Dhungel,Ryan Dhungel,UCu47q4mYoq9t0bINCWaTsgA,https://www.youtube.com/c/narayandhungel,Male,66,"Simplified Web Development Tutorials on PHP, Laravel, Bootstrap, WordPress and more",AU,252230,2020,162,2007-03-30T18:08:53Z,UUu47q4mYoq9t0bINCWaTsgA,2007-03-30,Australia,Australia,Oceania,2007,"(2005.999, 2010.0]","(-0.001, 97250.0]"
RealTough Candy,RealToughCandy,UC54NcJvLCvM2CNaBjd5j6HA,https://www.youtube.com/channel/UC54NcJvLCvM2CNaBjd5j6HA,Female,67,"Are you ready to get into the tech industry as a software developer? You've come to the right spot! 

RealToughCandy is your home for REAL-WORLD development education. Everything I share here is based on real-life situations, and I'm here to tell you how the industry really works. I've helped over a million people and I'm excited to help millions more.

Some of the tech I feature includes HTML, CSS & JavaScript; React; PHP; Linux + LAMP stack, MERN stack & more. I also teach people how to become freelance web developers.

If you want to change your life for the better and work in an exciting, high-paying career field, subscribe NOW.

👉👉👉Check out my #1 course Freelance Newbie that has helped over a THOUSAND people start their freelance web development careers: https://realtoughcandy.io/p/freelance-newbie-become-a-freelance-web-developer

👉👉👉I'm the author of FIVE TOP RATED books: https://amzn.to/2RLwsay

👉👉👉 Where I review tech stuff: www.realtoughcandy.com
",US,1921572,45300,159,2015-03-25T00:36:49Z,UU54NcJvLCvM2CNaBjd5j6HA,2015-03-25,United States,United States,North america,2015,"(2010.0, 2015.0]","(-0.001, 97250.0]"
Papaya Coders,Papaya Coders,UCm8jfNyHA7FIrFdYQTOpy0g,https://youtube.com/papayacoders,Male,68,"We, Papaya Coders are trying to provide our best for your betterment. We are here for all of your programming needs. Services that we provide are:
YouTube videos for beginners in programming.
Crash courses for different technologies.
Project oriented YouTube videos
Programming guides.
An interface to solve your errors using insta-tele-whatsapp.
We also develop application and website for you using your favourite technology.
We would like to hire students as freelancers.

We all know that the time is tough. Our Doctors, Nurses, Police, Soldiers and Government are trying their best for the country. When we stand together, we win together. 
Stay home, Stay connected.
",IN,351410,3430,301,2020-03-07T09:02:15.347561Z,UUm8jfNyHA7FIrFdYQTOpy0g,2020-03-07,India,India,Asia,2020,"(2015.0, 2020.0]","(-0.001, 97250.0]"
perfect web solutions,Perfect Web Solutions,UCjM2CgqAXgXQuFjJa732IRw,https://youtube.com/perfectwebsolutions,Male,71,"Perfect web solutions provide Quality Tutorials on Web Development, Web Design, using ( WordPress, Laravel, CodeIgniter, PHP & MySQL ) and we are currently working on preparing Tutorials on Artificial Intelligence, Machine Learning using Python and Packages like Tensorflow, Keras, Pandas, NumPy and some other Cool Web Development Packages like Django and Flask.

For business inquiries: itsmeleo.qureshi@gmail.com

Visit our Fan Page on Facebook: https://www.facebook.com/pwspkjlm

Our Group on Facebook: https://www.facebook.com/groups/1279782712164479/

Visit our Fan Page on Twitter: @pwsjlmpk

Join me on Instagram: @perfectwebsolutionspk

our WhatsApp group: https://chat.whatsapp.com/6tSVUlX2ltCIsWe6b3UtlU

Visit our Website: http://www.bestsoftpro.com

Visit our Official Website: https://perfectwebsolutions.info

Thank You!
@Perfect Web Solutions",PK,2729147,28500,1286,2015-06-26T22:35:34Z,UUjM2CgqAXgXQuFjJa732IRw,2015-06-26,Pakistan,Other,Asia,2015,"(2010.0, 2015.0]","(-0.001, 97250.0]"
